,Year,Film,Cast,Director,Genre
367,2010,Hansi Deu Ek Phera,"Madan Krishna Shrestha, Hari Bansha Acharya, Raj Ballav Koirala, Shweta Khadka, Sushil Chhetri",Shiva Regmi,
368,2010,Hifajat,"Aryan Sigdel, Rekha Thapa, Aayush Rijal (debut)",Gyanendra Deuja,
369,2010,The Flash Back: Farkera Herda,"Aryan Sigdel, Nikhil Upreti, Yuna Upreti, Neeta Pokharel",Dayaram Dahal,
370,2010,The Yug Dekhi Yug Samma (The Century to Century),"Rajesh Hamal, Nandit KC",Deependra Khanal,
371,2010,Kasle Choryo Mero Mann,Sangay Khampa,,
372,2011,Annadata,"Ramit Dhungana, Dinesh Sharma, Rohan Dhakal, Shibu Singh, Nishan Shahi Dhakal",Niraj Ghimire,
373,2011,Dharmaa,"Rajesh Hamal, Manisha Koirala, Rejina Uprety, Nikhil Uprety",Dipendra Khanal,
374,2011,Khushi,"Rekha Thapa, Suman Singh, Aayush Rijal, Ganesh Upreti",Gyanendra Deuja,
375,2011,Sahara,"Biraj Bhatta, Dilip Rayamajhi, Rekha Thapa, Ramit Dhungana",Pradeep Bhardwoj,
376,2011,Batch No 16,"Suman Singh, Rubi Bhattarai, Sushma Karki, Anup Baral",Abispan,
377,2011,Masan,"Raj Ballav Koirala, Keki Adhikari",N Shah,
378,2011,Farki Aau,"Rajesh Hamal, Niruta Singh",,
379,2011,Parkhi Rakha Hai,"Dil Shrestha, Sanchita Luintel, Melina Manandhar, Mukesh Dhakal",Dil Shrestha,
380,2011,Malai Man Paryo,"Niruta Singh, Raj Ballav Koirala, Jiwan Luitel, Arunima Lamsal",Bhadra Bhujel,
381,2011,Devyani,"Nikhil Upreti, Dilip Rayamajhi, Bimala KC",Bijay Basnet,
382,2011,Hamro Maya Juni Juni Lai,"Shree Krishna Shrestha, Rekha Thapa, Mukesh Dhakal, Nita Dhungana",Rishi Lamichane,
383,2011,Jaba Jaba Maya Bascha,"Jiwan Luitel, Rekha Thapa, Mithila Sharma, Shrijana Basnet",Bijay Thapa,
384,2011,Ma Chu Ni Timro,Rose Rana,,
385,2011,KalaPani,"Jharana Thapa, Sanchita Luintel, Nikhil Upreti, Dilip Rayamajhi",Uddhad Abhidit,
386,2011,Andaaz,"Jeevan Luitel, Rekha Thapa, Sabin Shrestha",Ujwal Ghimire,
387,2011,Acharay,,,
388,2011,Maryo Ni Mayale Maryo,,,
389,2011,Mero Pyaro Maitighar,"Dinesh Sharma, Dilip Ray Majhi",Uday Subba,
390,2011,Shreeman,,,
391,2011,Dulahi,,,
392,2011,Timi Jaha Bhayapani,,,
393,2011,Baghchal,"Rejina Uprety, Santosh Giri, Naresh Bhattarai",,
394,2011,Kina Mayama,,,
395,2011,Aangalo Yo Mayako,,,
396,2012,Namaste,,,
397,2012,Brake Fail,"Rajesh Hamal, Bimlesh Adhikari, Neeraj Baral, Richa Ghimire",Shankar Ghimire,
398,2012,Loot,"Dayahang Rai, Saugat Malla, Karma Shakya, Srijana Subba",Nischal Basnet,
399,2012,Yoddha,"Dinesh Sharma, Rajesh Hamal",Uday Subba,
400,2012,Apabad,"Nisha Adhikari, Raj Ballav Koirala",Subash Koirala,
401,April 2013,Saanghuro,"Shushank Mainali, Deeya Maskey, Aruna Karki, Dayahang Rai, Buddhi Tamang",Joes Pandey,
402,2013,Bardan,"Rajesh Hamal, Karishma Manandhar, Rejina Uprety",,
403,2013,C-Mala (The Necklace),"Manoj RC, Dipti Gurung, Nirvik Rai, Roshani Karki, Rajesh Payal Rai",Rudra Bahadur Gurung,
404,2013,Cha Ekan Cha,"Kedar Ghimire, Sitaram Kattel",Dinesh DC,
405,2013,Manjari,"Gaurav Pahari, Sujata Koirala, Tika Pahari, Bishnu Rimal",Ganesh Dev Panday,
406,2013,Hostel,"Anmol K.C., Prakreeti Shrestha, Gaurav Pahadia, Salon Basnet, Rista Basnet",Hemaraj BC,
407,March 2014,Ritu,"Raj Ballav Koirala, Malina Joshi, Reema Bishwokarma etc.",Manoj Adhikari,
408,2014,Humjayaga,"Babu Bogati, Wilson Bikram Rai Manoj RC, Parbati Rai",Surendra Pun,
409,2014,Madhumas,"Aryan Sigdel, Manoj RC, Pooja Sharma, Shivangini Rana",Sudarshan Thapa,
410,2014,Mukhauta,Arpan Thapa,Rabin Shrestha,
411,2014,Nai Nabhannu La 2,Anubhav Regmi Sugyani Bhattarai,Bikash Acharya,
412,2014,Mutu-The Heart Belongs To You,"Bimlesh Adhikari, Keki Adhikari, Mukesh Acharya",Everest Surya Bohora,
413,2014,Kohinoor,"Shree Krishna Shrestha, Sweta Khadka",,
414,2014,Talakjung vs Tulke,"Khagendra Lamichhane, Reecha Sharma, Shushank Mainali, Rabindra Singh Baniya",Nischal Basnet,
415,November 14,Jerryy,"Anmol K.C., Anna Sharma, Abhisek Man Sherchan, Amalya Sharma",Hemraj BC,
416,December 12,Love You Baba,"Gajit Bista, Sangam Bista",Saugat Bista,
417,2015,Zhigrana[13],"Hanna G, Nikun Shrestha, Menuka Pradhan, Jyoti Karki, Shanti Giri, Arun Regmi, Deewakar Piya, Bina Pandey",,
418,2014,Jwala,"Rejina Uprety, Biraj Bhatta, Mukesh",,
419,2014,Ikshya,Dahayang Rai,Giri Raj Lamichhane,
420,2015,Birano Maya,Shreevev /Namrata Sapkota,Madhab Raj Kharel,
421,2015,Danav,"Dinesh Sharma, Mahima Silwal, Teja Ayer",Dinesh Sharma,
422,2015,Hostel Returns,"Sushil Shrestha, Sashi Shrestha, Nazir Hussain, Swastima Khadka, Sushil Sitaula",,
423,2015,Bhairav[14],"Nikhil Upreti, Anu Shah, Nagendra Rijal, Rekha Thapa (guest role)",Nikhil Upreti,
424,2015,Luv Sab,"Samyam Puri, Karishma Shrestha, Salon Basnet",Dev Kumar Mishra,
425,2015,Wada No. 6,"Deepak Raj Giri, Sitaram Kattel, Priyanka Karki, Jitu Nepal, Daya hang rai, Kedar Ghimire, Shivahari Poudel Deepa Shree Niraula",Ujwal Ghimire,
426,2015,Chankhe Shankhe Pankhe,"Sudarshan Thapa, Prem Puri, Puja Sharma, Rabindra Jha Nandita KC, Pramod Agrahari",Sudarshan Thapa,
427,2015,Aarop,,Amar Oli,
428,2015,Paradeshi,"Prashant Tamang, Rajani KC, Naren Khadka",Narayan Rayamajhi,
429,2015,Kabaddi Kabaddi[18],"Dayahang Rai, Saugat Malla, Risma Gurung",Ram Babu Gurung,
430,2015,Romance,,L N Gautam,
431,2015,Jau Hida Pokhara,Rekha Thapa and Jivan Luitel,Shovit Basnet,
432,September 2016,Gaatho,"Najir Hussain, Namrata Shrestha,Abhay Baral",Suraj Bhusal,
433,2016 October 24,Bonodal (Change) Santali [6][7][9][8][21][11][22][23][24][10][25],"Hasda Bayar ( Kabiraj Hasda ), Kabita Baskey, Mohan Tudu, Rajan Baskey",Kiran Khatiwada,
434,Notes,,,,
435,2018,Sunkesari[26],"Reecha Sharma, Sunny Dhakal, Lauren Lofberg, Rabindra Jha",Arpan Thapa,
436,2018,Durgamandu,"Saniya , Madhab",Madhab Raj Kharel,
437,31 August 2018,Meri Mamu,"Ayub Sen, Kusum Gurung, Saruk Tamrakar, Aaslesha Thakuri",Yam Thapa,
438,14 Dec 2018,Kathaa '72,"Akash Magar, Bhuisal Lama, Supriya Rana",Prabin Syangbo,
439,7 Dec 2018,Prasad,"Bipin Karki, Namrata Shrestha, Nischal Basnet",Dinesh Raut,
440,8 June 2018,Matti Mala[27],"Buddhi Tamang, Rajani Gurung, Priyanka Karki",Teke Paurakhi Rai,
441,"May 24, 2019",Jhatkka,"Surbir Pandit, Rakshya Guragai",Wronit Bee Mizaar,
442,Sep 13 2019,Password,"Sunny Leone, Anoop Bikram Shahi, Bikram Joshi, Buddhi Tamang, Rabindra Jha",Samrat Basnet,
443,"December 6, 2019",Maya Pirim[28],"Salon Basnet, Anjali Adhikari, Koshish Chhetri",Tek Paurakhi Rai,
444,Feb 7 2020,Sanglo,"Biraj Bhatta, Nikita Chandak, Jayananda Lama, Kameshwor Chaurasiya, Prakash Shah",Biraj Bhatta,
445,Feb 7 2020,Selfie King,"Bipin Karki, Laxmi Bardewa, Abhay Baral, Bhuwan Chand,",Bishal Sapkota,
446,Feb 21 2020,Senti Virus,"Sitaram Kattel, Kunjana Ghimire, Dayahang Rai, Wilson Bikram Rai, Buddhi Tamang",Rambabu Gurung,
447,Feb 24 2020,Love Diaries,"Sushil Shrestha, Rubeena Thapa, Bishwojit Rimal",Saurav Chaudhary,
448,March 14 2020,Fichyo,"Beeshwas Gurung, Kashi Ghale (Indra), Sub. Mantri Jung Gurung, Tikaram Ghale, Sita Devi Gurung, Kalyan Magar, Krishna Gurung, D.B Gurung, Pemba Tshering Sherpa, Birup Ghale, Anjana Gurung, Srijana Gurung & Villagers",Bikash Ghale Gurung,
449,2020,LAPPAN CHHAPPAN,"Saugat Malla, Arpan Thapa, Anoop Bikram Shahi",Mukunda Bhatta,
450,2020,Hero Returns (नायक भाग २),"Sabin Shrestha, Rekha Thapa, Dil Shrestha",Ashish Bhetwal,
451,2023,Jaari (film),"Dayahang Rai,Miruna Magar,Bijay Baral",Upendra Subba,
452,2016,Bagamati,Rajesh Hamal,Sunny Kerala,Action
453,2016,Fanko,"Saugat Malla, Keki Adhikari, Dayahang Rai, Priyanka Karki",Shubarna Thapa,Suspense
454,2016,Kafal Pakyo,"Jiwan Luitel, Barsha Raut, Mukesh Acharya",Sabitri Khatri,Melodrama
455,2016,Pashupati Prasad,"Khagendra Lamichhane, Barsha Siwakoti",Dipendra K Khanal,Social Satire
456,2016,Kaifiyat,"Nandita K.C, Nabin Shrestha, CP Poudel, Shankar Shahi Thakuri, Kishan Sunuwar, Sajana Thapa",Dasharat Giri,Melodrama
457,2016,Classic (Nepali movie),"Aaryan Sigdel, Namrata Shrestha, Dayahang Rai, Priyanka Karki",Dinesh Raut,Lovestory
458,2016,Prem Geet (2016),,,"Love story, Comedy"
459,2016,The Soldier,"Rajendra Chaudhary, Diwash Upreti, Jenisha KC",B.S.Balami,Action
460,2016,Dreams (2016 film),"Anmol K.C., Samragyee RL Shah",Diwakar Bhattarai,Lovestory
461,2016,Nai navannu la 4,"Priyanka Karki, Paul Shah, Barsha Raut",Bikash Raj Acharya,Family Drama
462,2016,Baato muniko phool 2,,,Social satire
463,2016,Best Frenz Forever,"Saurav Chaudhary, Manish Neupane Sandip Ghimire, Pinky Sherpa, Sadhana Bhandari, Syaleen Manandhar, Prahik NeupaneInzamam Ali Khan",Utsav Thapaliya,Friendship
464,2016,Dying Candle,"Saugat Malla, Arpan Thapa, Srijana Subba",Naresh Kumar,"Drama, Family"
465,2016,Gajalu,"Anmol K.C., Shristi Shrestha, Gaurav Pahari",Hemraj Bc,"Love story, Social satire"
466,2016,Lukamari,"Saugat Malla, Karma Shakya, Rista Basnet, Subarna Karki",ShreeRam Dahal,Suspense
467,2016,Ma ta timrooi hoon,"Jyotsna Yogi, Aakash Shrestha",Shreeram Mahat,Teen love/Family Drama
468,2016,Ekpal,"Jenisha K.c, Ram Maharjan",Raj Shakya,Love story
469,2016,"Drama, Comedy",,"Sanjog Rana, Purnima Lama, Ryan Lama, Dhan Bor Bamjam (DB), Sanjay Karki, Surbeer Pandit Bharat Puri",Rim Bishwokarma
470,2016,"Drama, Comedy",,"Sushant Karki, Sushil Sitaula Shishir Bhandari Surajani KC Riza Bhushal Sushil Pokhrel RAshmi Bhatta Sarishma Magar Bishal Pahadi Sandesh Magarati Sanjaya Khatri Nutchheman Dangol Ira Bhattarai Lalit Bista .",Rishi Raj Acharya
471,2016,Chapali height 2,"Ayushman Joshi, Paramita Rana, Mariska Pokharel",Dipendra K Khanal,Romantic Thriller
472,2016,The Winner (2016),"Malina Joshi, Manchin Shakya, Mahesh Man Shrestha",Hikmat Bista,Action
473,2016,Chhakka Panja,"Priyanka Karki, Deepak Raj Giri,  Jeetu Nepal, Kedar Ghimire, Buddhi Tamang, Shivahari Paudel, Barsha Raut and Namrata Sapkota",Deepa Shree Niraula,Comedy
474,2016,Gaatho,"Najir Hussain, Abhaya Baral, Namrata Shrestha",Suraj Bhusal,Art
475,2016,Jhumkee,"Manoj RC, Malina Joshi, Rishma Gurung, Dayahang Rai,",Apil Bista,Suspense
476,2016,Junga Bahadur ko coat,"Bimlesh Adhikari, Anup Baral, Suchitra Acharya",Aashish Bhetwal,Action
477,2017,Bhram,"Karma, Bhintuna Joshi, Khusbu Khadka, Suresh Gamal",Rabindra Shahi,"Love, Thriller"
478,2017,Love Sasha,"Karma, Keki Adhikari",Prachanda M Shrestha,Romance
479,2017,King,"Nikhil Upreti, Anoop Bikram Shahi, Benisha Hamal",Sabir Shrestha,Action
480,2017,Karkhana,"Sushil Shrestha, Barsha Siwakoti, Mausami Malla, Amardeep Sapkota",Amardeep Sapkota,"Romance, Action"
481,2017,Lakeside,"Jiwan Luitel, Neeta Dhungana",Raju Adhikari,"Love, Music"
482,2017,Loot 2[1],"Saugat Malla, Karma, Dayahang Rai, Reecha Sharma, Bipin Karki, Kameshwor Chaurasiya, Srijana Subba",Nischal Basnet,"Crime, Action, Thriller"
483,2017,Nirbhaya,"Nikhil Upreti, Neeta Dhungana",Madhusudan Bhattarai,Action
484,2017,Lappan Chappan,"Dayahang Rai, Saugat Malla, Barsha Siwakoti, Arpan Thapa, Shyam Shrestha",Mukunda Bhatta,"Crime, Action, Comedy"
485,2017,Diary,"Rekha Thapa, Chhulthim Gurung, Sunny Singh",Anil Yonjan,"Love, Action"
486,2017,Radhe[2],"Nikhil Upreti, Priyanka Karki",Jagadishwor Thapa,Patritoic Drama
487,2017,Ghampani[3],"Dayahang Rai, Keki Adhikari",Dipendra Lama,Romance
488,2017,Love Love Love,"Suraj Pandey, Swastima Khadka",Dipendra K. Khanal,Love
489,2019,Jay Shree Daam,"Amrit Dhungana, Binod Neupane, Pramod Agrahari, Jebicca Karki",Biplop Upreti,Drama
490,2019,Je Sukai Hos,"Chanda Dahal, Sunil Katuwal, Umesh Gurung","Umesh Gurung, Roshan Shrestha",Drama
491,2019,Chauka Dau,"Barsha Raut, Wilson Bikram Rai, Rabindra Jha, Santosh Panta",Purnendu Kumar Jha,Comedy
492,2019,Villain,"Nikhil Upreti, Shilpa Pokhrel, Nisha Adhikari, Kapil Khatri",Devendra Panday,Action
493,2019,Garud Puran,"Karma Shakya, Najir Hussain, Prakash Ghimire",Subash Koirala,Comedy
494,2019,Aarop,"Kishor Khatiwada, Sanchita Luitel, Rajan Gahatraj",Amar Oli,Action
495,2019,Baina,"Ranjita Limbu, Subash Meche, Surbir Pandit, Uday Subba",Dil Prakash Yakso,Romance
496,2019,Anaagat,"Priyanka Karki, Arpan Thapa, Praween Khatiwada",Samten Bhutia,Thriller
497,2019,"FEB
",Ram Sharan Pathak,100 Kada 10,"Amrit Dhungana, Karuna Shrestha, Manoj Gajurel"
498,2019,Gopi,"Bipin Karki, Barsha Raut, Surakshya Panta, Ankeet Khadka",Dipendra Lama,Drama
499,2019,Ranveer,"Sushil Sitaula, Subeksha Khadka, Supushpa Bhatta, Prashant Tamrakar",Govind Singh Bhandari,Action
500,2019,Summer Love,"Ashish Piya, Rewati Chetri, Suraj Singh Thakuri, Namrata Sapkota",Muskan Dhakal,Romance
501,2019,Bulbul,"Swastima Khadka, Mukun Bhusal, Joes Pandey",Binod Paudel,Romance Comedy
502,2019,Jadugar −2,"Mahadev Tripathi,Surendra K.C., Shiva Shankar Rijal, Resham Firiri",Mahadev Tripathi,Comedy
503,2019,Rumalai Chha Chino,"Sushant Karki, Kishor Khatiwada, Sanchita Luitel, Rashmi Bhatta, Mithila Sharma",Dinesh Singh Thakuri,Action
504,2019,Boyfriend,"Mahima Silwal, Puskar Regmi, Saroj Khanal, Mohan Niraula",Madan Ghimire,Romance
505,2019,Fingerprint,"Aayushma Karki, Deepak Tripathi, Sarita Lamichhane, Ramesh Budhathoki",Nabin Niraula,Drama
506,2019,"MAR
",Diwakar Bhattarai,Captain,"Anmol K.C., Sunil Thapa, Saroj Khanal, Prashant Tamrakar, Wilson Bikram Rai"
507,2019,The Break Up,"Aashirman DS Joshi, Shilpa Maskey, Raymon Das Shrestha, Itchya Karki, Saroj Khanal",Hem Raj B.C.,Romance
508,2019,Khaag,"Prabin Khatiwada, Puskar Gurung, Aashant Sharma, Srijana Adhikari",Manoj Pandit,Social Drama
509,2019,Adalat,Sushma Karki,Dinesh Lingden,Drama
510,2019,The Man from Kathmandu,"Gulshan Grover, Hameed Sheikh, Anna Sharma, Karma Shakya, Neer Shah, Mithila Sharma, Paramita RL Rana",Pema Dhondup,Action
511,2019,Jani Najani,"Manish Shrestha, Sumi Moktan, Nirisha Basnet, Sunny Singh, Roshani K.C.",Basanta Adhikari,Romance
512,2019,Kagaz Patra,"Najir Hussain, Shilpa Maskey, Laxmi Bardewa, Sarita Giri, Bholaraj Sapkota",Apil Bista,Comedy Drama
513,2019,Saili,"Gaurav Pahari, Menuka Pradhan, Dayahang Rai, Maotse Gurung, Prakash Ghimire, Aruna Karki",Ram Babu Gurung,Romance
514,2019,"APR
",Ujwal Ghimire,Love Station,"Pradeep Khadka, Jassita Gurung, Ramesh Budhathoki, Binod Paudel, Saroj Khanal"
515,2019,Premnath,"Gajit Bista, Surbir Pandit, Ganesh Belbase, Kamal Gaule",Ganesh Belbase,Action
516,2019,Jiwan Kanda Ki Phool,"Sarika Ghimire, Rojita Buddhacharya",Binod Bista,biographical film
517,2019,Yatra: A Musical Vlog,"Salin Man Bania,Salon Basnet,Jahanwi Basnet,Prakash Adhikari, Dhiren Shakya",Samrat Shakya,Musical
518,2019,A Mero Hajur 3,"Anmol K.C., Suhana Thapa, Arpan Thapa",Jharana Thapa,Romance
519,2019,"MAY
",Pradeep Bhattarai,Jatrai Jatra,"Bipin Karki, Dayahang Rai, Rabindra Singh Baniya, Nischal Basnet"
520,2019,Daal Bhat Tarkari,"Hari Bansha Acharya, Madan Krishna Shrestha, Wilson Bikram Rai, Niruta Singh",Sudan K.C.,Comedy
521,2019,"15 August
",Hajar Juni Samma,,
522,2019,"13 September
",Password,,
