,Year,Film,Artist,Director,Producer,Music composer
0,,,,,,
1,1964,Aama (mother),"Shiva Shankar, Bhuvan Chand",Heera Singh Khatri,Information Dept. Govt of Nepal,"
"
2,1966,Maitighar (Birthplace[women's]),"Mala Sinha, C.P. Lohani",B.S. Thapa,Sumonanjali Films Pvt. Ltd.,"Jaidev
"
3,1967,"Hijo, Aaja, Bholi (Yesterday, Today, Tomarrow)","Mitra Lal Sharma, Bhuvan Chand",Heera Singh Khatri,Information Dept. Govt of Nepal,"
"
4,1971,"Parivartan (Change) 
","Yagya mirth Ghimire
",Heera Singh Khatri,Information Dept. Govt of Nepal,"
"
5,1973,Mann Ko Bandh (Heart's stoppage),"Salyan K.C., Sushma Shahi",Prakash Thapa,Royal Nepal Film Corporation,"Nati Kaji, Shiva Shankar
"
6,1977,Kumari (Living goddess),"Biswa Basnet, Chaitya Devi",Prem Bahadur Basnet,Royal Nepal Film Corporation,"
"
7,1978,Paral Ko Aago (Straw's Flame),"Tanka Sharma, Susmita Dhakal, Basundhara Bhusal (debut)",Pratap Subba,Cineroma,"Shanti Thatal
"
8,,,,,,
9,1980,Sindoor (Marriage symbol),"Meenaxi Anand, Biswa Basnet, Neer Shah",Prakash Thapa,Royal Nepal Film Corporation,"
"
10,1980,Jeevan Rekha (Life Line),"Meenaxi Anand, Shiv Shrestha (debut)",,,"
"
11,1981,Bansuri (Flute),"Rakesh Pandey, Rajani Sharma, Tanka Sharma, Biswa Hingmang",Tulsi Ghimire,Mohan Kumar Bannerjee,"Ranjit Gazmer
"
12,1982,Juni (Incarnation),"Bhuwan K.C. (debut), Meenakshi Anand",Sarad Palekar,,"
"
13,1982,Bachana Chahane Haru (Those Who Want to Live),"Kiran Thakuri, Biswa Hingmang",Pratap Subba,,"Shanti Thatal
"
14,1982,Badalindo Aakash (The Changing Sky),"Shiv Shrestha, Sushma Shahi, Neer Shah",Laxminath Sharma,Royal Nepal Film Corporation,"Gopal Yonzon
"
15,1983,Samjhana (Memories),"Bhuwan K.C., Trupti Totlani Narodkar (debut), Muralidhar",Shambhu Pradhan,Ishwari Films,"Ranjit Gazmer
"
16,1984,Kanchhi (Little Sister),"Shiv Shrestha, Sharmila Malla (debut), Sushma Shahi, Mausami Malla (debut)",B.S. Thapa,Bhagawan Das Shrestha,"Gopal Yonzon
"
17,1984,Adarsha Nari (Exemplary Woman),"Bijaya Lama, Ujwal Ghimire, Amsumala Shahi, Punam Lama",Hem Lama,Hem Lama,"Madan Pariyar
"
18,1985,"Ke Ghar Ke Dera (What's Home, What's Tenancy)","Puran Joshi (debut), Sharmila Malla, Madan Krishna Shrestha, Hari Bansha Acharya, Kristi Mainali (debut)",Pradeep Rimal,,"
"
19,1985,Kusume Rumal (Scarlet Handkerchief),"Bhuwan K.C., Trupti Totlani Narodkar, Udit Narayan (debut)",Tulsi Ghimire,Sayapatri Films,"Ranjit Gazmer
"
20,1985,"Basudev [
lord Vishnu]

","Krishna Malla (debut), Sharmila Malla, Madan Krishna Shrestha, Hari Bansha Acharya, Neer Shah, Harihar Sharma",Neer Shah,,"Ranjit Gazmer
"
21,1986,Biswas (Faith),"Shiv Shrestha, Roshi Karki, Rajshri Chhetri",Chetan Karki,Royal Nepal Film Corporation,"Gopal Yonzon
"
22,1987,Saino (Relation),"Bhuwan K.C., Trupti Totlani Narodkar, Danny Denzongpa, Raksha Mark",Ugyen Chopel,Triple Jem Movies,"Ranjit Gazmer
"
23,1988,Anyay (Injustice),"Meera Madhuri (debut), Biswa Basnet, Prakash Adhikari (debut)",Tulsi Ghimire,Sagarmatha Movietone,"Ranjit Gazmer
"
24,1988,Jhodaa (Pair),"Banni Sharma, Tanka Sharma",Barun Kawasi,Kusulata Interprises,"Ranjit Gazmer
"
25,1988,Maya Preeti (Love and Affection),"Ravindra Khadka, Sharmila Malla, Krishna Malla",Chetan Karki,Shanti Films,"Gopal Yonzon
"
26,1988,Sahas (Courage),Shiv Shrestha,Giri Raj Lamichhane,Trishakti Films,"
"
27,1989,Behuli (The Bride),"Sunita Khadka, Prakash Adhikari",Shambhu Pradhan,Ishwari Films,"Ranjit Gazmer
"
28,1989,Bhagya Rekha (Line of Fate),"Rabindra Khadka, Mausami Malla",Deepak Rayamajhi,Surya Binayek Films,"Norbu Tshering
"
29,1989,Santaan (Offspring),"Bhuwan K.C., Arjun Jung Shahi (debut), Ujwal Ghimire, Karishma Manandhar (debut), Gauri Malla (debut), Shanti Maskey, Kristi Mainali",Prakash Thapa,"Om Productions, Royal Nepal Film Corporation","Manohari Singh
"
30,1989,Lahure (The Armyman),"Shrawan Ghimire, Trupti Totlanii Narodkar",Tulsi Ghimire,Kanchanjungha Films,"Ranjit Gazmer
"
31,,,,,,
32,1990,Mayalu (Beloved),"Bhuwan K.C., Karishma Manandhar",Giri Raj Lamichhane,,"
"
33,1990,Pariwar (Family),"Bhuwan K.C., Ashok Sharma, Kristi K.C. (Mainali), Mithila Sharma, Nir Shaha, Madan Das Shrestha, Sushila Rayamajhi",Raj Kumar Sharma,Mrs. Sumitra Poudyal,Jeevan Adhikari
34,1990,Cheli Beti (Girls/Daughters),"Gauri Malla, Sharmila Malla, Arjun Jung Sahi, Mithila Sharma",Yadav Kharel,Udaya Films,Sambhujeet Baskota
35,1990,Pheri Bhetaula (We Shall Meet Again),"Manisha Koirala, Prakash Adhikari",Phurpa Chiring Gurung,Himchuli Films,Ranjit Gazmer
36,1990,Tilhari (symbol of marriage),"Bhuwan K.C., Mausami Malla, Kristi Mainali",Giri Raj Lamichhane,,Sayapatri Films
37,1991,Bijaya Parajaya (Victory-Defeat),"Bhuwan K.C., Krsihna Malla, Brazesh Khanal, Sharmila Malla, Saroj Khanal, Rupa Rana, Teeka Pahari",Rajendra Shalabh,,
38,1991,Chino (Souvenir),"Bhuwan K.C., Shiv Shrestha, Kristi Mainali, Sharmila Malla, Subhadra Adhikari, Sinaura Mistry, Anoop Malla and Sushila Raymajhi",Tulsi Ghimire,Om Trinetra Production,Ranjit Gazmer
39,1991,Chot (Wound),"Saroj Khanal, Rupa Rana, Gauri Malla",Subodh Kumar Pokharel,,
40,1991,Lobhi Paapi (Greedy Sinner),"Gauri Malla, Madan Krishna Shrestha, Hari Bansha Acharya",Yadav Kharel,Creative Movies,Sambhujeet Baskota
41,1991,The Friend,,Sanjay Pradhan,,
42,1991,Kanyadan (Bride give away to Groom),"Gauri Malla, Bhuwan K.C.",Prakash,Samjhana Films,Manohari Singh
43,1991,Sampati (Property),"Mausami Malla, Arjun Shrestha",Shambhu Pradhan,Ishwari Films,Ranjit Gazmer
44,1991,Trishna (Thirst),"Bhuwan K.C., Rupa Rana, Muralidhar",Ugyen Chopel,Aarati Films,Ranjit Gazmer
45,1991,Yug Dekhi Yug Samma (From Era to Era),"Rajesh Hamal (debut), Kristi Mainali",Deepak Rayamajhi,Kashi Prasad Shrestha,Sambhujeet Baskota
46,1992,Arpan (Offering),"Arjun Shrestha, Bhuwan K.C., Kristi Mainali",Rajkumar Sharma,Sayapatri Films,Bhupendra Rayamajhi
47,1992,Arunima [Girl's Name],"Saroj Khanal, Kristi Mainali, Karishma Manandhar, Arjun Shrestha, Mausami Malla",Mahendra Bhakta Shrestha,,
48,1992,Chokho Maaya (Pure Love),"Saroj Khanal, Kristi Mainali, Bijaya Lama",Raj Bikram Shah,Sagun Films,Shakti Ballav
49,1992,Dui Thopa Aansoo (Two Drops of Tears),"Bhuwan K.C., Shrawan Ghimire, Anuradha Sawant",Tulsi Ghimire,,Ranjit Gazmer
50,1992,Kastoori (Musk),Karishma Manandhar,Kiran Pradhan,Binod Manandhar,
51,1992,Maya (Love),"Bhuwan K.C., Puran Joshi, Nabina Shrestha, Mausami Malla, Mithila Sharma",Pradeep Rimal,,
52,1992,Bhauju (Sister in Law),"Rajesh Hamal, Karishma, Neer Shah, Karishma Manandhar",Rajendra Shalav,Shankar Films,
53,1992,Tapasya (Prayer),"Saroj Khanal, Gauri Malla, Beena Basnet, Karishma Manandhar",Narayan Puri,Roshana Films,
54,1993,Aandhi Beri (The Storm),"Gauri Malla, Binod Kharel",Yadav Kharel,,
55,1993,Adhikar (The Right),"Rajesh Hamal, Kristi Mainali, Mithila Sharma",Prakash Thapa,,
56,1993,Jhuma [Typical Nepali lady],"Mausami Malla, Arjun Shrestha",Pradeep Upadhay,,
57,1993,Koseli (The Gift),"Trupti Totlani Narodkar, Krishna Malla, Bharati Ghimire, Shrawan Ghimire, Bijaya Lama",Tulsi Ghimire,,Ranjit Gazmer
58,1993,Manakamana (A Heart's Desire),"Shiv Shrestha, Karishma Manandhar",Subodh Kumar Pokharel,,
59,1993,Milan (Meeting),"Shiv Shrestha, Karishma Manandhar, Brazesh Khanal, Melina Manandhar",Laxminath Sharma,Subodh Kumar Pokharel,Sambhujeet Baskota
60,1993,Priyasi (Girlfriend),"Melina Manandhar (debut), Kiran Pratap K.C.",Deepak Rayamajhi,,Sambhujeet Baskota
61,1993,Sankalpa (Decision),"Bhuwan K.C., Krishna Malla, Sharmila Malla, Kristi Mainali, Shiv Shrestha",Shyam Rai,Om Shiv Shakti Films,Sambhujeet Baskota
62,1994,Bhauju (Sister-in-Law),"Rajesh Hamal, Karishma Manandhar",Rajendra Shalabh,,Sambhujeet Baskota
63,1994,Deuki [Goddess],"Rajesh Hamal, Mausami Malla",Banni Pradhan,,
64,1994,Deuta (God),"Rajesh Hamal, Srijana Basnet (debut), Shrawan Ghimire",Tulsi Ghimire,,Ranjit Gazmer
65,1994,Chatyang (Lightning),"Rajesh Hamal, Gauri Malla",Giri Raj Lamichhane,,Pratap Subba
66,1994,Kasam (The Promise),"Rajesh Hamal, Kristi Mainali, Mausami Malla",Deepak Rayamajhi,,
67,1994,Naata (Relation),"Bhuwan K.C., Gauri Malla, Shree Krishna Shrestha, Ashok Sharma",Biswa Banet,,
68,1994,Sapana (Dream),"Bhuwan K.C., Shiv Shrestha, Karishma Manandhar, Mausami Malla",Sambhu Pradhan,,
69,1994,Aparadh (Crime),"Rajesh Hamal, Kristi Mainali, Melina Manandhar",Amar Rasilee,,
70,1994,Badal (Cloud),"Bhuwan K.C., Krishna Malla, Sharmila Malla, Bina Basnet",Krishna Malla,,
71,1994,Chahana (A Desire),"Rajesh Hamal, Sunil Thapa, Karisma Manandhar, Santosh Panta, Saroj Khanal",Sheetal Nepal,,
72,1994,Cheli (A Girl),"Mausami Malla, Dhiren Shakya",Raju Dhowj Rana,Shradha Arts,Anil Shahi
73,1994,Dakshina (Tribute),"Bhuwan K.C., Niruta Singh (debut)",Tulsi Ghimire,,Ranjit Gazmer
74,1994,Dushman (Enemy),"Kiran Pratap, Saroj Khanal, Mausami Malla, Rupa Rana",Badri Adhikari,Nirmala Rana,Bhupendra Rayamajhi
75,1994,Janma Janma (One Life to Another),"Saroj Khanal, Dhiren Shahkya",Sheetal Nepal,Multi Track Movies,Subh Bahadhur
76,1994,Jhajhalko (Remembrances),"Shiv Shrestha, Gauri Malla, Kristi Mainali, Shree Krishna Shrestha (debut)",Gagan Birahi,United Films,Sambhujeet Baskota
77,1994,Pahilo Prem (First Love),,Chetan Karki,,
78,1994,Sadak (Road),"Rajesh Hamal, Saroj Khanal, Sunny Runiyar",Tirth Thapa,,Prakssh Gurung
79,1994,Paribhasa (Definition),"Rajesh Hamal, Saroj Khanal, Karishma Manandhar",Rajendra Shalabh,Madhav Narayan Lingthep,
80,1994,Prem Puja (Praising of Love),Dhiren Shakya,Raju Dhowj Rana,Sunsine Films,Anil Shahi
81,1994,Prithvi (World),"Rajesh Hamal, Srijana Basnet, Mausami Malla",Prakash Sayami,Shiva Shakti Films,Shakti Ballav
82,1994,Rakchaya (Protection),,Prem Baniya,,
83,1994,Sannani (A Small Girl),"Saroj Khanal, Anita Silwal",Narayan Puri,,
84,1994,Saubhagye (Good Luck),"Dhiren Shakya, Mausami Malla, Rupa Rana",Madhav Sapkota,Sangam Films,Chandra Thapa
85,1994,Sauta (2nd Wife),"Bhuwan K.C., Karishma Manandhar, Bina Basnet",Narayn Puri,,
86,1994,Shanti Deep (Light of Peace),"Puran Joshi, Arjun Jung Shahi, Nabina Shrestha, Mithila Sharma",Royal Nepal Film Corporation,Laxminath Sharma,"Nati Kaji, Shiv Shankar"
87,1994,Mahadevi (Main Goddess),"Bhuwan K.C., Karishma Manandhar",Narayan Puri,,
88,1994,Swarga (Heaven),"Shiva Shreshtha, Neer Shah, Arjun Shrestha, Gauri Malla",Sambhu Pradhan,,Sambhujeet Baskota
89,1994,Truck Driver {गाडि चालक},"Shiv Shrestha, Karishma Manandhar, Bijay Lama",Raj Kumar Sharma,,Sambhujeet Baskota
90,1994,Tuhuro (Orphan),"Bhuwan K.C., Srijana Basnet, Mausami Malla, Dinesh Sharma (actor)",,,Bhupendra Ray Majhi
91,1995,Daju Bhai (Brothers),"Bhuwan K.C., Shree Krishna Shrestha, Mausami Malla",Banni Pradhan,Lady Bird Films,Shubh Bahadur
92,1995,Dharma (Religion),,Amar Rasilee,,
93,1995,Jaali Rumal (The Knitted Handkerchief),"Shree Krishna Shrestha, Melina Manandhar, Sudhamshu Joshi",Anish Koirala,,
94,1995,Janma Bhoomi (Motherland),Bipana Thapa (debut),Mohan Niraula,,
95,1995,Jeevan Sangharsha (Struggles of Life),"Rajesh Hamal, Mithila Sharma",,,
96,1995,Jwala (Flame),Rajesh Hamal,Mukunda Bastakoti,,Sila Bahadur Moktan
97,1995,Karja (Debt),"Dhiren Shakya, Kristi Mainali, Ganesh Upreti",Kishore Rana,,
98,1995,Maha Maya (Greatest Love),"Shiv Shrestha, Saroj Khanal, Gauri Malla, Mithila Sharma",Prakash Thapa,,
99,1995,Mohani (Fatal Attraction),"Ganesh Upreti, Bina Basnet, Saroj Khanal",Ramesh Budathoki,,Sambhujeet Baskota
100,1995,Prem Pinda (Love),"Saroj Khanal, Sani Rauniyar (debut), Melina Manandhar, Neer Shah",Yadav Kharel,,Sambhujeet Baskota
101,1995,Rajamati [ Ancient Newari girl of Beauty ],"Shree Krishna Shrestha, Maniraj Lawat, Hisila Maharjan",Neer Shah,,Nhyoo Bajracharya
102,1995,Ragat (Blood),"Saroj Khanal, Bipana Thapa, Bina Basnet, Anita Silwal",Narayan Puri,Kalpana Acharya,Sachin Singh
103,1995,Sarangi [Typical Nepali musical Instrument],"Saroj Khanal, Brazesh Khanal, Karishma Manandhar, Saranga Shrestha, Teeka Pahari",Laxminath Sharma,Dhan Bahadur Pun,Sambhujeet Baskota
104,1995,Sarswati [Goddess of Knowledge],"Shiva Shrestha, Sunil Thapa, Gauri Malla",Sambhu Pradhan,,
105,1995,Simana (Border),"Rajesh Hamal, Dhiren Shakya, Melina Manandhar",Prakash Sayami,Rajendra Maharjan,Shakti Ballav
106,1996,Aaghat (Trauma),"Kristi Mainali, Bhuwan K.C., Shree Krishna Shrestha",Anish Koirala,,
107,1996,"""Aafno Birano"" (Native Foreigner)","Rajesh Hamal, Shreekrishna Shrestha, Shrisha Karki",,,
108,1996,Avatar (Incarnation),"Rajesh Hamal, Gauri Malla, Jal Shah (debut)",Prakash Sayami,Padhma Pictures P. Ltd.,
109,1996,Agni Parichya (The Fire Test),"Rajesh Hamal, Bipana Thapa",Surya Bohra,Machha Puchhre Films,Sambhujeet Baskota
110,1996,Anartha (Wrong Meaning),,Kundan Khanal,National Vision,Anil Shahi
111,1996,Andolan (Strike),"Karishma Manandhar, Dinesh Sharma",Tirtha Thapa,,Prakash Gurung
112,1996,Balidan (Offering),"Madan Krishna Shrestha, Hari Bansa Acharya",Tulsi Ghimire,,
113,1996,Bandhan (Imprison),"Rajesh Hamal, Karishma Manandhar, Melina Manandhar, Dinesh Sharma",Resh Raj Acharya,Sigdel Films,Subh Bahadur
114,1996,Bhariya (Sky Hop),"Rajesh Hamal, Melina Manandhar",Daya Ram Dahal,Chandramukhi Films,Anil Shahi
115,1996,Chhori Buhari (Daughter Daughter-in-law),"Rajesh Hamal, Pooja Chand",Laxminath Sharma,Mansarowar Films P. Ltd.,
116,1996,Chunauti (Challenge),"Saroj Khanal, Shree Krishna Shrestha, Bipana Thapa",Naresh Kumar Poudel,Ranjeet Movies,Sambhujeet Baskota
117,1996,Daijo (Dowry),"Bhuwan K.C., Melina Manandhar",Daya Ram Dahal,Shankha Devi Cine Arts,Anil Shahi
118,1996,Jaya Baba Pashupati Nath (Hail Father Pashupati Nath),"Saroj Khanal, Sudhamshu Joshi",Satish Kumar,Sayapatri Films,Muralidhar
119,1996,Laxmi Puja (Goddess Laxmi worship),"Kristi Mainali, Ganesh Upreti, Shree Krishna Shrestha",,Mansarowar Films P. Ltd.,
120,1996,Karodpati (Millionaire),"Bhuwan K.C., Sushmita K.C.",Kishore Rana,,Sambhujeet Baskota
121,1996,Nirmaya,"Shree Krishna Shrestha, Saranga Shrestha",Narayan Puri,,
122,1996,Nirmohi,"Dinesh Sharma, Jal Shah, Saroj Khanal",Nayan Raj Pandey,,
123,1996,Paachuri (Sawl),"Shiv Shrestha, Bhuwan K.C., Kristi Mainali, Nabina Shrestha",Banni Pradhan,Amrita Cine Arts,Yujin Lama
124,1996,Prateeksha (Waiting),Karishma Manandhar,Raj Bikram Shah,,
125,1996,Raanko,"Shiv Shrestha, Bhuwan K.C., Gauri Malla, Mithila Sharma, Bijaya Lama, Kristi Mainali",Kishore Rana,,
126,1996,Rahar (Wish),Niruta Singh,Tulsi Ghimire,Ajambari Films,Ranjit Gazmer
127,1996,Sun Chandi (Gold Silver),"Shree Krishna Shrestha, Saranga Shrestha",Sambhu Pradhan,Ishwori Films,Sambhujeet Baskota
128,1996,Gothalo (Cowboy),"Krishna Malla, Sarmila Malla, Saroj Khanal, Shree Krishna Shrestha",Ujwal Ghimire,Cine Concern,Sambhujeet Baskota
