,Year,Film,Artist,Director,Producer,Music composer
322,2008,Ma Timi Bina Marihalchhu (I will die without you),"Bhuwan K.C., Jharana Thapa, Sushmita K.C.",Dayaram Dahal,Kajal Films,Sambhujeet Baskota
323,2008,Kaslai diu yo Jowan (Whom to give this body),"Dilip Rayamajhi, Melina Manandhar, Jharna Thapa, Nikhil Upreti",,,"
"
324,2008,Mission Paisa (Misson Money),"Nikhil Upreti, Amir Gautam, Nisha Adhikari",Simos Sunwar,"Rajeeb Shrestha, Dipika Thapa Sunuwar","
"
325,2008,Salam chha Mayalai (Salute to Love),,,,"
"
326,2008,Takkar Dui Mutu Ko (Challenge of two heart),,,,"
"
327,2009,Arjun Dev,"Biraj Bhatta, Rejina Uprety, Garima Pant",Shiva Regmi,Jay Prakash Eijal,
328,2009,Bish (Poison),"Rajesh Hamal, Rejina Uprety, Richa Ghimire, Sanchita Luitel, Nikhil Uprety",,Shankar Ghimire,"
"
329,2009,RAAJ,"Biraj bhatta, Rejina Uprety, Shiva Shrestha, Ramit Dhungana",Bijaya Gopal Dali,"Gajendra Ranjit
",
330,2009,Chodi Gaye Paap Lagla (If you leave than you may get sin),"Raj Ballav Koirala, Biraj Bhatta, Richa Ghimire, Sanchita Luitel",Ujwal Ghimire,,"
"
331,2009,Dhum,"Biraj Bhatta, Ramit Dhungana, Rejina Uprety, Arjun Karki,",Shobhit Basnet,,
332,2009,Deewanapan (Craziness),"Dinesh Sharma, Arunima Lamsal, Raj Ballav Koirala",Krishna Chapagain,,"
"
333,2009,Gorkha Rachhayak (Gorkha Saviour),,Giri Raj Lamichhane,,
334,2009,Itihaas (History),"Biraj Bhatta, Rejina Uprety, Rekha Thapa",,,"
"
335,2009,Izzatdar (Respectful),"Dinesh Sharma, Rajesh Hamal, Biraj Bhatta, Arjun Karki",Krishna Chapagain,,"
"
336,2009,Jay Shiva Shankar (Hail Shiv Shankhar),"Rajesh Hamal, Nikhil Upreti, Rejina Uprety, Rajesh Dhungana, Biraj Bhatt",Rajendra Upreti,,
337,2009,Jindagi (Life),,,,"
"
338,2009,Jeewan Mrityu (Life Death),"Nikhil Upreti, Ramit Dhungana, Garima Pant",Ramesh Budhathoki,Uddhav Poudel,"
"
339,2009,Jungbaaz (Warrior),"Rajesh Hamal, Gauri Malla, Rushma Rai, Sunil Thapa, Ashok Sharma, Yuvaraj Lama",,,
340,2009,Kohi Mero,"Dinesh Sharma, Jharana Bajracharya",Alok Nengbang,,"
"
341,2009,Kahan Bhetiyela (Where may I meet?),"Shree Krishna Shrestha, Niruta Singh",Shiva Regmi,Shree Krishna Shrestha,"Sambhujeet Baskota
"
342,2009,Kahan Chau Kahan (Where are You Where),"Jharana Thapa, Biraj Bhatta, Govind Shahi, Ganesh Upreti",Dayaram Dahal,,
343,2009,Dhunge Youg (STONE ERA),"Dil Krishna Shrestha, Sabina",Madhab Raj Kharel,,"
"
344,2009,Kusume Rumal 2 (Scarlet Handkerchief 2),"Niraj Baral, Rejina Upreti Usha Rajak, Rubi Bhattarai, Tripti Nadakar",Nirak Poudel,Uddhav Poudel,"Suryajeet Baskota
"
345,2009,Mahan (Great),"Dinesh Sharma, Biraj Bhatta, Jharana Thapa, Jaykishan Basnet",Krishna Chapagain,Dinesh Sharma,"
"
346,2009,Mero Euta Saathi Cha (I Have one friend),"Aryan Sigdel, Namrata Shrestha",Sudarshan Thapa,Prabhu SJB Rana,"Sugam Pokharel, Bipin Acharya
"
347,2009,Mission Love In Sikkim,"Bikrant Basnet, Rushma Rai",Sovit Basnet,Channel Ace Productions,Sanjay Shrestha
348,2009,Mr Mangale,"Biren Shrestha, Rekha Thapa",,Biren Shrestha,"
"
349,2009,Naina Resham (Silk of eye),"Biraj Bhatt, Nisha Adhikari",,,"
"
350,2009,Naseeb Afno (Own Luck),,Bikas Acharya,,"
"
351,2009,Nepali Veer (Strong Nepali),,,,
352,2009,Nishana (Target),"Rajesh Hamal, Nikhil Upreti, Rejina Uprety",,,"
"
353,2009,Paapi Manche 2 (Sinner 2),"Nikhil Upreti, Sunil Thapa, Pujana Pradhan",Deepak Shrestha,Raj Kumar Rai,"
"
354,2009,Rachhayak (Saviour),,,,
355,2009,Rajya (Kingdom),,,,
356,2009,Sahara (Pillar),,,,"
"
357,2009,Sandesh (Message),"Rejina Uprety, Biraj Bhatta, Sushil Chhetri, Rekha Thapa, Sovita Simkhada",,,"
"
358,2009,Silsila (System),"Rekha Thapa, Biraj,Bhatta, Soniya Kc, Raj",,,
359,2009,The Third Generation,,,,"
"
360,2009,Kanoon (Law),"Dinesh Sharma, Rajesh Hamal",,,"
"
361,2009,Trinetra (Third-Eye),"Nikhil Upreti, Shweta Tiwari",,,
362,2009,Mission paisa,"Nikhil Upreti, Nisha Adhikari, Sunil Thapa",,,"
"
363,,,,,,
364,2010,Nai Nabhannu La,"Jeevan Luintel, Richa Singh Thakuri",Bikash Acharya,Ramesh Jung Rayemajhi,Mahesh Khadka
365,2010,Basma Chaina Yo Mann,"Biraj Bhatta, Karishma Manandhar, Raj Ballav Koirala, Nandita KC",Ramraja Dahal,Rimesh Adhikari,Vinod Khumbu
366,2010,Bato Muni Ko Phool,"Yash Kumar, Rekha Thapa, Babu Bogati, Nandita KC",Suroj Subba,Yash Kumar,Yash Kumar
367,2010,Chino (New),"Shiva Shrestha, Biraj Bhatta, Rejina Upreti",,,
368,2010,Dasdhunga,"Anup Baral, Kiran Kunwar, Dayahang Rai, Sanchita Luitel, Saugat Malla",Manoj Pandit,Yama Devi Bista,
369,2010,Desh Dekhi Bidesh,"Nikhil Upreti, Dilip Rayamajhi, Richa Ghimire, Prerana Sharma, Daman Rupakheti",Narendra Thapa,Ramita Thapa,Sambhujeet Baskota
370,2010,First Love,"Aryan Sigdel, Karma, Nisha Adhikari, Vinay Shrestha, Reecha Sharma",Simosh Sunuwar,Princess Movies,"Surendra Man Singh, Satya—Swaroop"
371,2010,Gorkha Paltan,"Prashant Tamang, Ranjita Gurung, Sunil Thapa",Narayan Rayamajhi,Rajesh Bansal,"BB Anuragi, Mahendra Budathoki"
372,2010,Hansi Deu Ek Phera,"Madan Krishna Shrestha, Hari Bansha Acharya, Raj Ballav Koirala, Shweta Khadka, Sushil Chhetri",Shiva Regmi,Tejaswi Films,Suresh Adhikari
373,2010,Hifajat,"Aryan Sigdel, Rekha Thapa, Aayush Rijal (debut)",Gyanendra Deuja,Dijendra Shakya,Mahesh Khadka
374,2010,The Flash Back: Farkera Herda,"Aryan Sigdel, Nikhil Upreti, Yuna Upreti, Neeta Pokharel",Dayaram Dahal,Uddhab Poudel,Suresh Adhikari
375,2010,The Yug Dekhi Yug Samma (The Century to Century),"Rajesh Hamal, Nandit KC",Deependra Khanal,Editor,
376,2010,Kasle Choryo Mero Mann,Sangay Khampa,,,
377,,,,,,
378,2011,Annadata,"Ramit Dhungana, Dinesh Sharma, Rohan Dhakal, Shibu Singh, Nishan Shahi Dhakal",Niraj Ghimire,Rohan Dhakal,
379,2011,Dharmaa,"Rajesh Hamal, Manisha Koirala, Rejina Uprety, Nikhil Uprety",Dipendra Khanal,Durga Pokhrel,Hari Lamsal
380,2011,Khushi,"Rekha Thapa, Suman Singh, Aayush Rijal, Ganesh Upreti",Gyanendra Deuja,Gopi Krishan Movies,Alok Shree
381,2011,Sahara,"Biraj Bhatta, Dilip Rayamajhi, Rekha Thapa, Ramit Dhungana",Pradeep Bhardwoj,Sangam Films,Mahesh Khadka
382,2011,Batch No 16,"Suman Singh, Rubi Bhattarai, Sushma Karki, Anup Baral",Abispan,Govinda,
383,2011,Masan,"Raj Ballav Koirala, Keki Adhikari",N Shah,"Neer Shah, Rimal Films",
384,2011,Farki Aau,"Rajesh Hamal, Niruta Singh",,,
385,2011,Parkhi Rakha Hai,"Dil Shrestha, Sanchita Luintel, Melina Manandhar, Mukesh Dhakal",Dil Shrestha,Diya Films,Suresh Adhikari
386,2011,Malai Man Paryo,"Niruta Singh, Raj Ballav Koirala, Jiwan Luitel, Arunima Lamsal",Bhadra Bhujel,Ramesh Jung Rayamajhi,Sambhujeet Baskota
387,2011,Devyani,"Nikhil Upreti, Dilip Rayamajhi, Bimala KC",Bijay Basnet,Bijay Basnet,Laxman Shesh
388,2011,Hamro Maya Juni Juni Lai,"Shree Krishna Shrestha, Rekha Thapa, Mukesh Dhakal, Nita Dhungana",Rishi Lamichane,Gopal Pandey,Mahesh Khadka
389,2011,Jaba Jaba Maya Bascha,"Jiwan Luitel, Rekha Thapa, Mithila Sharma, Shrijana Basnet",Bijay Thapa,Maniram Basnet,Sachin Singh
390,2011,Ma Chu Ni Timro,Rose Rana,,Rose Rana,
391,2011,KalaPani,"Jharana Thapa, Sanchita Luintel, Nikhil Upreti, Dilip Rayamajhi",Uddhad Abhidit,Uddhad Abhidit,Suresh Adhikari
392,2011,Andaaz,"Jeevan Luitel, Rekha Thapa, Sabin Shrestha",Ujwal Ghimire,Ujwal Ghimire/Ashok Sharma/Chhabi Ojha,Basanta Sapkota
393,2011,Acharay,,,,
394,2011,Maryo Ni Mayale Maryo,,,,
395,2011,Mero Pyaro Maitighar,"Dinesh Sharma, Dilip Ray Majhi",Uday Subba,,
396,2011,Shreeman,,,,
397,2011,Dulahi,,,,
398,2011,Timi Jaha Bhayapani,,,,
399,2011,Baghchal,"Rejina Uprety, Santosh Giri, Naresh Bhattarai",,,
400,2011,Kina Mayama,,,,
401,2011,Aangalo Yo Mayako,,,,
402,,,,,,
403,2012,Namaste,,,,
404,2012,Brake Fail,"Rajesh Hamal, Bimlesh Adhikari, Neeraj Baral, Richa Ghimire",Shankar Ghimire,Richa Ghimire,
405,2012,Loot,"Dayahang Rai, Saugat Malla, Karma Shakya, Srijana Subba",Nischal Basnet,"Madhav Wagle, Narendra Maharjan",Roshan Thapa and Kiran Tuladhar
406,2012,Yoddha,"Dinesh Sharma, Rajesh Hamal",Uday Subba,,
407,2012,Apabad,"Nisha Adhikari, Raj Ballav Koirala",Subash Koirala,Sushan Prajapati,Ujwal Meghi Gurung
408,,,,,,
409,April 2013,Saanghuro,"Shushank Mainali, Deeya Maskey, Aruna Karki, Dayahang Rai, Buddhi Tamang",Joes Pandey,"Sameer Mainali; Mountain River Films
",
410,2013,Bardan,"Rajesh Hamal, Karishma Manandhar, Rejina Uprety",,Rejina Upreti,
411,2013,C-Mala (The Necklace),"Manoj RC, Dipti Gurung, Nirvik Rai, Roshani Karki, Rajesh Payal Rai",Rudra Bahadur Gurung,Rudra Bahadur Gurung,Kankist Rai
412,2013,Cha Ekan Cha,"Kedar Ghimire, Sitaram Kattel",Dinesh DC,Deepak Raj Giri,
413,2013,Manjari,"Gaurav Pahari, Sujata Koirala, Tika Pahari, Bishnu Rimal",Ganesh Dev Panday,"Naresh Pandey, Mahesh Chalise",Kali Prashad Baskota
414,2013,Hostel,"Anmol K.C., Prakreeti Shrestha, Gaurav Pahadia, Salon Basnet, Rista Basnet",Hemaraj BC,Sunil Rawal,The Shadows
415,,,,,,
416,March 2014,Ritu,"Raj Ballav Koirala, Malina Joshi, Reema Bishwokarma etc.",Manoj Adhikari,Apil Bista,"Hemanta Rana, Tsujil Karamacharya"
417,"2014
",Humjayaga,"Babu Bogati, Wilson Bikram Rai Manoj RC, Parbati Rai",Surendra Pun,Bhoj Bahadur Gurung,
418,2014,Madhumas,"Aryan Sigdel, Manoj RC, Pooja Sharma, Shivangini Rana",Sudarshan Thapa,"Sudarshan Thapa, Baburam Dahal, Ramesh Thapa",Suresh Adhikari
419,2014,Mukhauta,Arpan Thapa,Rabin Shrestha,Jeevan Thapa,
420,"2014
",Nai Nabhannu La 2,Anubhav Regmi Sugyani Bhattarai,Bikash Acharya,Dinesh Pokhrel,"Basanta Sapkota, Shuresh Gaire"
421,2014,Mutu-The Heart Belongs To You,"Bimlesh Adhikari, Keki Adhikari, Mukesh Acharya",Everest Surya Bohora,Everest Surya Bohara,
422,2014,Kohinoor,"Shree Krishna Shrestha, Sweta Khadka",,,
423,2014,Talakjung vs Tulke,"Khagendra Lamichhane, Reecha Sharma, Shushank Mainali, Rabindra Singh Baniya",Nischal Basnet,Rabindra Singh Baniya,
424,November 14,Jerryy,"Anmol K.C., Anna Sharma, Abhisek Man Sherchan, Amalya Sharma",Hemraj BC,Manoj sherchan,Naren limbu
425,December 12,Love You Baba,"Gajit Bista, Sangam Bista",Saugat Bista,Samjhana Pokharel,
426,,,,,,
427,2015,Zhigrana[13],"Hanna G, Nikun Shrestha, Menuka Pradhan, Jyoti Karki, Shanti Giri, Arun Regmi, Deewakar Piya, Bina Pandey
",,,
428,2014,Jwala,"Rejina Uprety, Biraj Bhatta, Mukesh",,,
429,2014,Ikshya,Dahayang Rai,Giri Raj Lamichhane,,
430,2015,Birano Maya,Shreevev /Namrata Sapkota,Madhab Raj Kharel,,
431,2015,Danav,"Dinesh Sharma, Mahima Silwal, Teja Ayer",Dinesh Sharma,Dinesh Sharma,
432,"2015
","Hostel Returns
","Sushil Shrestha, Sashi Shrestha, Nazir Hussain, Swastima Khadka, Sushil Sitaula
","
","Sunil Rawal
","Swoopnil Sharma
"
433,"2015
","Bhairav[14]
","Nikhil Upreti, Anu Shah, Nagendra Rijal, Rekha Thapa (guest role)
","Nikhil Upreti
",Ratan Daruwala,
434,"2015
","Luv Sab
","Samyam Puri, Karishma Shrestha, Salon Basnet
","Dev Kumar Mishra
","Sushil Pokharel
","Tsujil Karmacharya
"
435,"2015
","Wada No. 6
","Deepak Raj Giri, Sitaram Kattel, Priyanka Karki, Jitu Nepal, Daya hang rai, Kedar Ghimire, Shivahari Poudel Deepa Shree Niraula
","Ujwal Ghimire
","Deepak Raj Giri
","
"
436,"2015
","Chankhe Shankhe Pankhe
","Sudarshan Thapa, Prem Puri, Puja Sharma, Rabindra Jha Nandita KC, Pramod Agrahari
","Sudarshan Thapa
","Santosh Sen
","
"
437,"2015
","Aarop
","
","Amar Oli
","Amar oli
","
"
438,"2015
","Paradeshi
","Prashant Tamang, Rajani KC, Naren Khadka
","Narayan Rayamajhi
",Rajesh Bansal and Narayan Rayamajhi,
439,"2015
","Kabaddi Kabaddi[18]
","Dayahang Rai, Saugat Malla, Risma Gurung
","Ram Babu Gurung
","Raunak Bikram Kandel and Sunil Chanda Rauniyar
","
"
440,"2015
","Romance
","
","L N Gautam
","L N Gautam
","
"
441,"2015
","Jau Hida Pokhara
","Rekha Thapa and Jivan Luitel
","Shovit Basnet
","Ram Gautam
","
"
442,,,,,,
443,"September 2016
","Gaatho
","Najir Hussain, Namrata Shrestha,Abhay Baral
","Suraj Bhusal
","Tilak Bahadur Chhetri,Suraj Bhusal; Butwall Entertainment
","
"
444,,,,,,
445,"2016 October 24
","Bonodal (Change) Santali [6][7][9][8][21][11][22][23][24][10][25]
","Hasda Bayar ( Kabiraj Hasda ), Kabita Baskey, Mohan Tudu, Rajan Baskey
","Kiran Khatiwada
","Kiran Khatiwada
","Jona Kisku
"
446,"
","
","
","
","
","
"
447,"Notes
",,,,,
448,2018,Sunkesari[26],"Reecha Sharma, Sunny Dhakal, Lauren Lofberg, Rabindra Jha
","Arpan Thapa
","Bhim Neupane, Reecha Sharma, Sharmila Sapkota
","Kali Prasad Baskota and Bijaya Adhikari
"
449,"2018
","Durgamandu
","Saniya , Madhab
","Madhab Raj Kharel
","
","
"
450,31 August 2018,Meri Mamu,"Ayub Sen, Kusum Gurung, Saruk Tamrakar, Aaslesha Thakuri",Yam Thapa,Santosh Sen,Kalyan Singh
451,14 Dec 2018,Kathaa '72,"Akash Magar, Bhuisal Lama, Supriya Rana","Prabin Syangbo
",,
452,7 Dec 2018,Prasad,"Bipin Karki, Namrata Shrestha, Nischal Basnet","Dinesh Raut
","Shuvash Thapa
","Subash Bhusal
"
453,"8 June 2018
","Matti Mala[27]
","Buddhi Tamang, Rajani Gurung, Priyanka Karki
","Teke Paurakhi Rai
","Prithbi Rai
","Suman Rai
"
454,,,,,,
455,"May 24, 2019",Jhatkka,"Surbir Pandit, Rakshya Guragai",Wronit Bee Mizaar,Shyam Shrestha Shekhar Bishunkhe,Purushotam Neupane
456,"Sep 13 2019
","Password
","Sunny Leone, Anoop Bikram Shahi, Bikram Joshi, Buddhi Tamang, Rabindra Jha
","Samrat Basnet
","Amit Basnet, Hiral Joshi, Ajit Kumar Thapa
","Arjun Pokharel
"
457,"December 6, 2019
","Maya Pirim[28]
","Salon Basnet, Anjali Adhikari, Koshish Chhetri
","Tek Paurakhi Rai
","Pravin Thapa, Sabin Adhikari
","Koshish Chhetri
"
458,,,,,,
459,"Feb 7 2020
","Sanglo
","Biraj Bhatta, Nikita Chandak, Jayananda Lama, Kameshwor Chaurasiya, Prakash Shah
","Biraj Bhatta
","
","Suresh Adhikari/ Rajan Raj Shiwakoti
"
460,"Feb 7 2020
","Selfie King
","Bipin Karki, Laxmi Bardewa, Abhay Baral, Bhuwan Chand,
","Bishal Sapkota
","Dinesh Raut, Shuvash Thapa
","Suraj Gaire
"
461,"Feb 21 2020
","Senti Virus
","Sitaram Kattel, Kunjana Ghimire, Dayahang Rai, Wilson Bikram Rai, Buddhi Tamang
","Rambabu Gurung
","Dindu Lama Hyolmo
","Rajanraj Shiwakoti
"
462,Feb 24 2020,Love Diaries,"Sushil Shrestha, Rubeena Thapa, Bishwojit Rimal",Saurav Chaudhary,Binod Sapkota,Arjun Pokharel
463,March 14 2020,Fichyo,"Beeshwas Gurung, Kashi Ghale (Indra), Sub. Mantri Jung Gurung, Tikaram Ghale, Sita Devi Gurung, Kalyan Magar, Krishna Gurung, D.B Gurung, Pemba Tshering Sherpa, Birup Ghale, Anjana Gurung, Srijana Gurung & Villagers",Bikash Ghale Gurung,"Santi M. Gurung, Sub. Mantri Jung Gurung, Buddhi Maya Gurung, and Avinash Mangsum","Santosh Shrestha, Ganesh Gurung"
464,"2020
","LAPPAN CHHAPPAN
","Saugat Malla, Arpan Thapa, Anoop Bikram Shahi
","Mukunda Bhatta
","Chij Kumar Shrestha,Prakash Kunwar, Nirmal Kumar Mishra,Sudip Chandra Bhakrel, Santosh Chandra Bakhrel
","
"
465,"2020
","Hero Returns (नायक भाग २)
","Sabin Shrestha, Rekha Thapa, Dil Shrestha
","Ashish Bhetwal
","Bhim Neupane, Dhruba Neupane
","Dipak Sharma, Tanka Budathoki
"
466,"2023
","Jaari (film)
","Dayahang Rai,Miruna Magar,Bijay Baral
","Upendra Subba
","
","
"
